id,seasonNum,episodeNum,sceneNo,sceneStart,sceneEnd,location,subLocation,greensight,altLocation,warg,flashback
34,1,1,35,0:57:48,0:59:06,The North,Winterfell,,,,
35,1,1,36,0:59:06,1:00:57,The North,Winterfell,,,,
36,1,2,1,0:02:22,0:05:28,The Dothraki Sea,,,,,
37,1,2,2,0:05:28,0:07:05,The North,Winterfell,,,,
38,1,2,3,0:07:05,0:09:18,The North,Winterfell,,,,
39,1,2,4,0:09:18,0:11:44,The North,Winterfell,,,,
40,1,2,5,0:11:44,0:13:26,The North,Winterfell,,,,
41,1,2,6,0:13:26,0:15:43,The North,Winterfell,,,,
42,1,2,7,0:15:43,0:19:22,The North,Winterfell,,,,
43,1,2,8,0:19:22,0:20:07,The North,Winterfell,,,,
44,1,2,9,0:20:07,0:21:51,The North,Winterfell,,,,
45,1,2,10,0:21:51,0:25:10,The North,The Kingsroad South to King's Landing,,,,
46,1,2,11,0:25:10,0:25:56,The Dothraki Sea,Dothraki Camp,,,,
47,1,2,12,0:25:56,0:29:16,The North,North to the Wall,,,,
48,1,2,13,0:29:16,0:32:28,The North,Winterfell,,,,
49,1,2,14,0:32:28,0:34:21,The Dothraki Sea,Dothraki Camp,,,,
50,1,2,15,0:34:21,0:34:53,The Wall,The Gift,,,,
51,1,2,16,0:34:53,0:36:12,The North,Winterfell,,,,
52,1,2,17,0:36:12,0:38:01,The North,Winterfell,,,,
53,1,2,18,0:38:01,0:38:54,The North,Winterfell,,,,
54,1,2,19,0:38:54,0:40:37,The Dothraki Sea,Dothraki Camp,,,,
55,1,2,20,0:40:37,0:42:47,The Dothraki Sea,Dothraki Camp,,,,
56,1,2,21,0:42:47,0:44:38,The Riverlands,Crossroads Inn,,,,
57,1,2,22,0:44:38,0:47:21,The Riverlands,Crossroads Inn,,,,
58,1,2,23,0:47:21,0:48:12,The Riverlands,Crossroads Inn,,,,
59,1,2,24,0:48:12,0:48:50,The Riverlands,Crossroads Inn,,,,
60,1,2,25,0:48:50,0:52:59,The Riverlands,Crossroads Inn,,,,
61,1,2,26,0:52:59,0:53:30,The Riverlands,Crossroads Inn,,,,
62,1,2,27,0:53:30,0:53:41,The North,Winterfell,,,,
63,1,2,28,0:53:41,0:54:09,The Riverlands,Crossroads Inn,,,,
64,1,2,29,0:54:09,0:54:25,The North,Winterfell,,,,
65,1,2,30,0:54:25,0:54:35,The Riverlands,Crossroads Inn,,,,
66,1,2,31,0:54:35,0:54:44,The North,Winterfell,,,,
67,1,3,1,0:01:47,0:02:42,The Crownlands,King's Landing,,,,
68,1,3,2,0:02:42,0:05:17,The Crownlands,King's Landing,,,,
69,1,3,3,0:05:17,0:08:11,The Crownlands,King's Landing,,,,
70,1,3,4,0:08:11,0:10:50,The Crownlands,King's Landing,,,,
71,1,3,5,0:10:50,0:12:11,The Crownlands,King's Landing,,,,
72,1,3,6,0:12:11,0:15:48,The Crownlands,King's Landing,,,,
73,1,3,7,0:15:48,0:18:50,The North,Winterfell,,,,
74,1,3,8,0:18:50,0:21:42,The Crownlands,King's Landing,,,,
75,1,3,9,0:21:42,0:23:18,The Wall,Castle Black,,,,
76,1,3,10,0:23:18,0:24:07,The Crownlands,King's Landing,,,,
77,1,3,11,0:24:07,0:24:42,The Crownlands,King's Landing,,,,
78,1,3,12,0:24:42,0:26:42,The Wall,Castle Black,,,,
79,1,3,13,0:26:42,0:27:19,The Crownlands,King's Landing,,,,
80,1,3,14,0:27:19,0:28:28,The Crownlands,King's Landing,,,,
81,1,3,15,0:28:28,0:30:07,The Crownlands,King's Landing,,,,
82,1,3,16,0:30:07,0:34:39,The Crownlands,King's Landing,,,,
83,1,3,17,0:34:39,0:38:17,The Dothraki Sea,,,,,
84,1,3,18,0:38:17,0:41:52,The Wall,Castle Black,,,,
85,1,3,19,0:41:52,0:45:46,The Wall,Castle Black,,,,
86,1,3,20,0:45:46,0:46:24,The Dothraki Sea,Dothraki Camp,,,,
87,1,3,21,0:46:24,0:48:38,The Dothraki Sea,Dothraki Camp,,,,
88,1,3,22,0:48:38,0:50:41,The Wall,Castle Black,,,,
89,1,3,23,0:50:41,0:51:30,The Dothraki Sea,Dothraki Camp,,,,
90,1,3,24,0:51:30,0:52:32,The Wall,Castle Black,,,,
91,1,3,25,0:52:32,0:56:04,The Crownlands,King's Landing,,,,
92,1,4,1,0:01:47,0:02:36,The North,Winterfell,True,,,
93,1,4,2,0:02:36,0:03:30,The North,Winterfell,,,,
94,1,4,3,0:03:30,0:05:13,The North,Winterfell,,,,
95,1,4,4,0:05:13,0:06:40,The North,Winterfell,,,,
96,1,4,5,0:06:40,0:10:11,The Wall,Castle Black,,,,
97,1,4,6,0:10:11,0:11:21,Vaes Dothrak,,,,,
98,1,4,7,0:11:21,0:12:17,Vaes Dothrak,,,,,
99,1,4,8,0:12:17,0:17:10,Vaes Dothrak,,,,,
100,1,4,9,0:17:10,0:18:53,The Crownlands,King's Landing,,,,
101,1,4,10,0:18:53,0:21:17,The Crownlands,King's Landing,,,,
102,1,4,11,0:21:17,0:23:42,The Crownlands,King's Landing,,,,
103,1,4,12,0:23:42,0:25:30,The Crownlands,King's Landing,,,,
104,1,4,13,0:25:30,0:27:42,The Wall,Castle Black,,,,
105,1,4,14,0:27:42,0:29:30,The Crownlands,King's Landing,,,,
106,1,4,15,0:29:30,0:30:03,The Crownlands,King's Landing,,,,
107,1,4,16,0:30:03,0:30:24,The Crownlands,King's Landing,,,,
108,1,4,17,0:30:24,0:32:21,The Crownlands,King's Landing,,,,
109,1,4,18,0:32:21,0:32:30,The Crownlands,King's Landing,,,,
110,1,4,19,0:32:30,0:34:27,The Crownlands,King's Landing,,,,
111,1,4,20,0:34:27,0:35:28,The Wall,Castle Black,,,,
112,1,4,21,0:35:28,0:35:54,The Wall,Castle Black,,,,
113,1,4,22,0:35:54,0:37:12,The Wall,Castle Black,,,,
114,1,4,23,0:37:12,0:38:33,Vaes Dothrak,,,,,
115,1,4,24,0:38:33,0:44:32,The Wall,Castle Black,,,,
116,1,4,25,0:44:32,0:45:38,Vaes Dothrak,,,,,
117,1,4,26,0:45:38,0:49:47,The Crownlands,King's Landing,,,,
118,1,4,27,0:49:47,0:51:27,The Crownlands,King's Landing,,,,
119,1,4,28,0:51:27,0:54:31,The Riverlands,Crossroads Inn,,,,
120,1,5,1,0:01:53,0:02:18,The Crownlands,King's Landing,,,,
121,1,5,2,0:02:18,0:02:55,The Crownlands,King's Landing,,,,
122,1,5,3,0:02:55,0:03:50,The Crownlands,King's Landing,,,,
123,1,5,4,0:03:50,0:06:23,The Crownlands,King's Landing,,,,
124,1,5,5,0:06:23,0:10:22,The Crownlands,King's Landing,,,,
125,1,5,6,0:10:22,0:13:40,The Vale,Eastern Road,,,,
126,1,5,7,0:13:40,0:16:15,The North,Winterfell,,,,
127,1,5,8,0:16:15,0:17:59,The North,Winterfell,,,,
128,1,5,9,0:17:59,0:18:13,The Crownlands,King's Landing,,,,
129,1,5,10,0:18:13,0:20:47,The Crownlands,King's Landing,,,,
130,1,5,11,0:20:47,0:22:17,The Crownlands,King's Landing,,,,
131,1,5,12,0:22:17,0:25:50,The Crownlands,King's Landing,,,,
132,1,5,13,0:25:50,0:26:51,The Crownlands,King's Landing,,,,
133,1,5,14,0:26:51,0:28:35,The Crownlands,King's Landing,,,,
134,1,5,15,0:28:35,0:28:50,The Crownlands,King's Landing,,,,
135,1,5,16,0:28:50,0:29:03,The Crownlands,King's Landing,,,,
136,1,5,17,0:29:03,0:30:13,The Vale,Eastern Road,,,,
137,1,5,18,0:30:13,0:30:31,The Crownlands,King's Landing,,,,
138,1,5,19,0:30:31,0:34:06,The Crownlands,King's Landing,,,,
139,1,5,20,0:34:06,0:34:15,The Crownlands,King's Landing,,,,
140,1,5,21,0:34:15,0:35:13,The Crownlands,King's Landing,,,,
141,1,5,22,0:35:13,0:37:12,The Vale,The Eyrie,,,,
142,1,5,23,0:37:12,0:37:53,The Vale,The Eyrie,,,,
143,1,5,24,0:37:53,0:41:50,The Crownlands,King's Landing,,,,
144,1,5,25,0:41:50,0:48:09,The Crownlands,King's Landing,,,,
145,1,5,26,0:48:09,0:49:05,The Crownlands,King's Landing,,,,
146,1,5,27,0:49:05,0:49:53,The Crownlands,King's Landing,,,,
147,1,5,28,0:49:53,0:53:06,The Crownlands,King's Landing,,,,
148,1,6,1,0:01:53,0:06:22,The Crownlands,King's Landing,,,,
149,1,6,2,0:06:22,0:07:50,Vaes Dothrak,,,,,
150,1,6,3,0:07:50,0:08:25,The North,Winterfell,True,,,
151,1,6,4,0:08:25,0:08:36,The North,Winterfell,,,,
152,1,6,5,0:08:36,0:09:42,The North,The Wolfswood,,,,
153,1,6,6,0:09:42,0:13:09,The North,The Wolfswood,,,,
154,1,6,7,0:13:09,0:14:16,The Vale,The Eyrie,,,,
155,1,6,8,0:14:16,0:16:08,The Crownlands,King's Landing,,,,
156,1,6,9,0:16:08,0:19:39,Vaes Dothrak,,,,,
157,1,6,10,0:19:39,0:21:54,Vaes Dothrak,,,,,
158,1,6,11,0:21:54,0:23:52,The Vale,The Eyrie,,,,
159,1,6,12,0:23:52,0:29:27,The Vale,The Eyrie,,,,
160,1,6,13,0:29:27,0:31:20,The Crownlands,The Kingswood,,,,
161,1,6,14,0:31:20,0:35:25,The Crownlands,King's Landing,,,,
162,1,6,15,0:35:25,0:39:52,The Vale,The Eyrie,,,,
163,1,6,16,0:39:52,0:42:45,The Crownlands,King's Landing,,,,
164,1,6,17,0:42:45,0:44:18,The North,Winterfell,,,,
165,1,6,18,0:44:18,0:46:45,The Crownlands,King's Landing,,,,
166,1,6,19,0:46:45,0:51:30,Vaes Dothrak,,,,,
167,1,7,1,0:01:52,0:06:35,The Westerlands,Lannister Camp,,,,
168,1,7,2,0:06:35,0:09:36,The Crownlands,King's Landing,,,,
169,1,7,3,0:09:36,0:14:40,The Crownlands,King's Landing,,,,
170,1,7,4,0:14:40,0:18:22,The North,Winterfell,,,,
171,1,7,5,0:18:22,0:19:14,The Wall,Castle Black,,,,
172,1,7,6,0:19:14,0:19:59,The Wall,Castle Black,,,,
173,1,7,7,0:19:59,0:20:13,The Crownlands,King's Landing,,,,
174,1,7,8,0:20:13,0:25:08,The Crownlands,King's Landing,,,,
175,1,7,9,0:25:08,0:26:45,The Crownlands,King's Landing,,,,
176,1,7,10,0:26:45,0:28:08,Vaes Dothrak,,,,,
177,1,7,11,0:28:08,0:29:12,Vaes Dothrak,,,,,
178,1,7,12,0:29:12,0:29:45,Vaes Dothrak,,,,,
179,1,7,13,0:29:45,0:32:56,Vaes Dothrak,,,,,
180,1,7,14,0:32:56,0:38:26,The Wall,Castle Black,,,,
181,1,7,15,0:38:26,0:40:12,The Wall,Castle Black,,,,
182,1,7,16,0:40:12,0:42:19,The Crownlands,King's Landing,,,,
183,1,7,17,0:42:19,0:45:49,The Crownlands,King's Landing,,,,
184,1,7,18,0:45:49,0:46:27,The Wall,Castle Black,,,,
185,1,7,19,0:46:27,0:47:57,North of the Wall,The Haunted Forest,,,,
186,1,7,20,0:47:57,0:51:36,Vaes Dothrak,,,,,
187,1,7,21,0:51:36,0:51:57,Vaes Dothrak,,,,,
188,1,7,22,0:51:57,0:52:17,The Crownlands,King's Landing,,,,
189,1,7,23,0:52:17,0:52:58,The Crownlands,King's Landing,,,,
190,1,7,24,0:52:58,0:53:12,The Crownlands,King's Landing,,,,
191,1,7,25,0:53:12,0:56:41,The Crownlands,King's Landing,,,,
192,1,8,1,0:01:53,0:02:00,The Crownlands,King's Landing,,,,
193,1,8,2,0:02:00,0:02:14,The Crownlands,King's Landing,,,,
194,1,8,3,0:02:14,0:02:22,The Crownlands,King's Landing,,,,
195,1,8,4,0:02:22,0:02:37,The Crownlands,King's Landing,,,,
196,1,8,5,0:02:37,0:03:19,The Crownlands,King's Landing,,,,
197,1,8,6,0:03:19,0:05:53,The Crownlands,King's Landing,,,,
198,1,8,7,0:05:53,0:06:14,The Crownlands,King's Landing,,,,
199,1,8,8,0:06:14,0:06:35,The Crownlands,King's Landing,,,,
200,1,8,9,0:06:35,0:07:12,The Crownlands,King's Landing,,,,
201,1,8,10,0:07:12,0:10:14,The Crownlands,King's Landing,,,,
202,1,8,11,0:10:14,0:11:30,The Wall,Castle Black,,,,
203,1,8,12,0:11:30,0:12:59,The Wall,Castle Black,,,,
204,1,8,13,0:12:59,0:15:11,The Crownlands,King's Landing,,,,
205,1,8,14,0:15:11,0:16:24,The North,Winterfell,,,,
206,1,8,15,0:16:24,0:16:37,The North,Winterfell,,,,
207,1,8,16,0:16:37,0:18:31,The Vale,The Eyrie,,,,
208,1,8,17,0:18:31,0:19:54,The Vale,To the Westerlands,,,,
209,1,8,18,0:19:54,0:22:45,The Vale,To the Westerlands,,,,
210,1,8,19,0:22:45,0:23:53,The Wall,Castle Black,,,,
211,1,8,20,0:23:53,0:24:48,The Wall,Castle Black,,,,
212,1,8,21,0:24:48,0:26:14,The Wall,Castle Black,,,,
213,1,8,22,0:26:14,0:28:20,The Dothraki Sea,Lhazareen Village,,,,
214,1,8,23,0:28:20,0:32:33,The Dothraki Sea,Lhazareen Village,,,,
215,1,8,24,0:32:33,0:34:17,The North,Winterfell,,,,
216,1,8,25,0:34:17,0:36:19,The North,Winterfell,,,,
217,1,8,26,0:36:19,0:38:35,The North,Winterfell,,,,
218,1,8,27,0:38:35,0:39:45,The Wall,Castle Black,,,,
219,1,8,28,0:39:45,0:40:10,The North,The Neck,,Camp of the North,,
220,1,8,29,0:40:10,0:41:18,The North,The Neck,,Camp of the North,,
221,1,8,30,0:41:18,0:43:21,The North,The Neck,,Camp of the North,,
222,1,8,31,0:43:21,0:44:34,The Westerlands,Lannister Camp,,,,
223,1,8,32,0:44:34,0:47:52,The Westerlands,Lannister Camp,,,,
224,1,8,33,0:47:52,0:48:25,The North,The Neck,,Camp of the North,,
225,1,8,34,0:48:25,0:48:32,The North,The Neck,,Camp of the North,,
226,1,8,35,0:48:32,0:50:40,The North,The Neck,,Camp of the North,,
227,1,8,36,0:50:40,0:50:50,The Crownlands,King's Landing,,,,
228,1,8,37,0:50:50,0:56:59,The Crownlands,King's Landing,,,,
229,1,9,1,0:02:24,0:06:25,The Crownlands,King's Landing,,,,
230,1,9,2,0:06:25,0:08:12,The Riverlands,The Twins,,,,
231,1,9,3,0:08:12,0:09:48,The Riverlands,The Twins,,,,
232,1,9,4,0:09:48,0:11:41,The Riverlands,The Twins,,,,
233,1,9,5,0:11:41,0:13:56,The Wall,Castle Black,,,,
234,1,9,6,0:13:56,0:14:12,The Wall,Castle Black,,,,
235,1,9,7,0:14:12,0:15:35,The Wall,Castle Black,,,,
236,1,9,8,0:15:35,0:15:49,The Riverlands,The Twins,,,,
237,1,9,9,0:15:49,0:17:31,The Riverlands,The Twins,,,,
238,1,9,10,0:17:31,0:17:58,The Riverlands,The Twins,,,,
239,1,9,11,0:17:58,0:21:38,The Wall,Castle Black,,,,
240,1,9,12,0:21:38,0:23:19,The Red Waste,The Desert,,,,
241,1,9,13,0:23:19,0:25:07,The Riverlands,Lannister Camp,,,,
242,1,9,14,0:25:07,0:27:41,The Riverlands,Lannister Camp,,,,
243,1,9,15,0:27:41,0:35:26,The Red Waste,,,,,
244,1,9,16,0:35:26,0:42:44,The Riverlands,Lannister Camp,,,,
245,1,9,17,0:42:44,0:43:40,The Riverlands,Lannister Camp,,,,
246,1,9,18,0:43:40,0:44:04,The Riverlands,Lannister Camp,,,,
247,1,9,19,0:44:04,0:44:52,The Riverlands,Lannister Camp,,,,
248,1,9,20,0:44:52,0:46:31,The Riverlands,Battlefield,,,,
249,1,9,21,0:46:31,0:46:52,The Riverlands,Riverrun,,,,
250,1,9,22,0:46:52,0:47:23,The Riverlands,Riverrun,,,,
251,1,9,23,0:47:23,0:49:26,The Riverlands,Riverrun,,,,
252,1,9,24,0:49:26,0:50:24,The Crownlands,King's Landing,,,,
253,1,9,25,0:50:24,0:55:54,The Crownlands,King's Landing,,,,
254,1,10,1,0:02:17,0:03:03,The Crownlands,King's Landing,,,,
255,1,10,2,0:03:03,0:03:25,The Crownlands,King's Landing,,,,
256,1,10,3,0:03:25,0:03:53,The North,Winterfell,True,,,
257,1,10,4,0:03:53,0:04:24,The North,Winterfell,,,,
258,1,10,5,0:04:24,0:05:40,The North,Winterfell,,,,
259,1,10,6,0:05:40,0:06:07,The North,Winterfell,,,,
260,1,10,7,0:06:07,0:08:07,The Riverlands,Camp of the North,,,,
261,1,10,8,0:08:07,0:10:52,The Crownlands,King's Landing,,,,
262,1,10,9,0:10:52,0:13:32,The Crownlands,King's Landing,,,,
263,1,10,10,0:13:32,0:15:48,The Riverlands,Camp of the North,,,,
264,1,10,11,0:15:48,0:18:51,The Riverlands,Camp of the North,,,,
265,1,10,12,0:18:51,0:19:23,The Crownlands,King's Landing,,,,
266,1,10,13,0:19:23,0:20:39,The Riverlands,Lannister Camp,,,,
267,1,10,14,0:20:39,0:22:37,The Riverlands,Lannister Camp,,,,
268,1,10,15,0:22:37,0:24:30,The Red Waste,,,,,
269,1,10,16,0:24:30,0:26:07,The Red Waste,,,,,
270,1,10,17,0:26:07,0:27:31,The Red Waste,,,,,
271,1,10,18,0:27:31,0:28:28,The Wall,Castle Black,,,,
272,1,10,19,0:28:28,0:29:52,The Riverlands,Lannister Camp,,,,
273,1,10,20,0:29:52,0:31:55,The North,The Gift,,,,
274,1,10,21,0:31:55,0:33:02,The Red Waste,,,,,
275,1,10,22,0:33:02,0:34:28,The Red Waste,,,,,
276,1,10,23,0:34:28,0:37:33,The Crownlands,King's Landing,,,,
277,1,10,24,0:37:33,0:37:52,The Crownlands,King's Landing,,,,
278,1,10,25,0:37:52,0:39:58,The Crownlands,King's Landing,,,,
279,1,10,26,0:39:58,0:40:38,The Crownlands,King's Landing,,,,
280,1,10,27,0:40:38,0:40:48,The Crownlands,King's Landing,,,,
281,1,10,28,0:40:48,0:43:03,The Crownlands,King's Landing,,,,
282,1,10,29,0:43:03,0:45:00,The Wall,Castle Black,,,,
283,1,10,30,0:45:00,0:45:46,The Wall,Castle Black,,,,
284,1,10,31,0:45:46,0:50:09,The Red Waste,,,,,
285,1,10,32,0:50:09,0:51:57,The Red Waste,,,,,
286,2,1,1,0:02:29,0:03:08,The Crownlands,King's Landing,,,,
287,2,1,2,0:03:08,0:03:12,The Crownlands,King's Landing,,,,
288,2,1,3,0:03:12,0:06:54,The Crownlands,King's Landing,,,,
289,2,1,4,0:06:54,0:09:13,The Crownlands,King's Landing,,,,
290,2,1,5,0:09:13,0:10:50,The Crownlands,King's Landing,,,,
291,2,1,6,0:10:50,0:12:46,The North,Winterfell,,,,
292,2,1,7,0:12:46,0:13:19,The North,Winterfell,,,True,
293,2,1,8,0:13:19,0:13:26,The North,Winterfell,,,,
294,2,1,9,0:13:26,0:14:50,The North,Winterfell,,,,
295,2,1,10,0:14:50,0:17:55,The Red Waste,,,,,
296,2,1,11,0:17:55,0:18:48,The Red Waste,,,,,
297,2,1,12,0:18:48,0:19:23,North of the Wall,Craster's Keep,,,,
298,2,1,13,0:19:23,0:20:31,North of the Wall,Craster's Keep,,,,
299,2,1,14,0:20:31,0:24:30,North of the Wall,Craster's Keep,,,,
300,2,1,15,0:24:30,0:25:02,North of the Wall,Craster's Keep,,,,
301,2,1,16,0:25:02,0:28:11,The Crownlands,Dragonstone,,,,
302,2,1,17,0:28:11,0:29:10,The Crownlands,Dragonstone,,,,
303,2,1,18,0:29:10,0:32:14,The Crownlands,Dragonstone,,,,
304,2,1,19,0:32:14,0:35:42,The Riverlands,Camp of the North,,,,
305,2,1,20,0:35:42,0:37:21,The Crownlands,King's Landing,,,,
306,2,1,21,0:37:21,0:40:06,The Crownlands,King's Landing,,,,
307,2,1,22,0:40:06,0:41:38,The Riverlands,Camp of the North,,,,
308,2,1,23,0:41:38,0:42:46,The Riverlands,Camp of the North,,,,
309,2,1,24,0:42:46,0:45:37,The Riverlands,Camp of the North,,,,
310,2,1,25,0:45:37,0:48:02,The Crownlands,King's Landing,,,,
311,2,1,26,0:48:02,0:48:27,The Crownlands,King's Landing,,,,
312,2,1,27,0:48:27,0:50:32,The Crownlands,King's Landing,,,,
313,2,1,28,0:50:32,0:51:00,The Crownlands,King's Landing,,,,
314,2,1,29,0:51:00,0:51:23,The Crownlands,King's Landing,,,,
315,2,1,30,0:51:23,0:51:52,The Riverlands,The Kingsroad,,,,
316,2,2,1,0:01:55,0:02:08,The Riverlands,The Kingsroad,,,,
317,2,2,2,0:02:08,0:03:33,The Riverlands,The Kingsroad,,,,
318,2,2,3,0:03:33,0:05:46,The Riverlands,The Kingsroad,,,,
319,2,2,4,0:05:46,0:08:16,The Crownlands,King's Landing,,,,
320,2,2,5,0:08:16,0:09:05,The Crownlands,King's Landing,,,,
321,2,2,6,0:09:05,0:10:22,The Crownlands,King's Landing,,,,
322,2,2,7,0:10:22,0:11:51,North of the Wall,Craster's Keep,,,,
323,2,2,8,0:11:51,0:12:37,North of the Wall,Craster's Keep,,,,
324,2,2,9,0:12:37,0:14:40,North of the Wall,Craster's Keep,,,,
325,2,2,10,0:14:40,0:17:31,The Red Waste,,,,,
326,2,2,11,0:17:31,0:17:54,The Sunset Sea,,,,,
327,2,2,12,0:17:54,0:19:53,The Sunset Sea,,,,,
328,2,2,13,0:19:53,0:20:48,The Crownlands,King's Landing,,,,
329,2,2,14,0:20:48,0:24:17,The Crownlands,King's Landing,,,,
330,2,2,15,0:24:17,0:24:32,The Crownlands,King's Landing,,,,
331,2,2,16,0:24:32,0:27:32,The Crownlands,King's Landing,,,,
332,2,2,17,0:27:32,0:28:03,The Crownlands,King's Landing,,,,
333,2,2,18,0:28:03,0:29:31,The Riverlands,The Kingsroad,,,,
334,2,2,19,0:29:31,0:31:59,The Riverlands,The Kingsroad,,,,
335,2,2,20,0:31:59,0:33:18,The Iron Islands,Lordsport,,,,
336,2,2,21,0:33:18,0:33:53,The Iron Islands,Lordsport,,,,
337,2,2,22,0:33:53,0:35:01,The Iron Islands,Pyke,,,,
338,2,2,23,0:35:01,0:37:47,The Iron Islands,Pyke,,,,
339,2,2,24,0:37:47,0:39:12,The Iron Islands,Pyke,,,,
340,2,2,25,0:39:12,0:42:24,The Crownlands,Dragonstone,,,,
341,2,2,26,0:42:24,0:43:32,The Crownlands,Dragonstone,,,,
342,2,2,27,0:43:32,0:46:03,The Crownlands,King's Landing,,,,
343,2,2,28,0:46:03,0:47:16,The Crownlands,Dragonstone,,,,
344,2,2,29,0:47:16,0:49:57,The Crownlands,Dragonstone,,,,
345,2,2,30,0:49:57,0:51:39,North of the Wall,Craster's Keep,,,,
346,2,2,31,0:51:39,0:52:09,North of the Wall,Craster's Keep,,,,
347,2,3,1,0:01:53,0:02:30,North of the Wall,Craster's Keep,,,,
348,2,3,2,0:02:30,0:04:24,North of the Wall,Craster's Keep,,,,
349,2,3,3,0:04:24,0:05:53,North of the Wall,Craster's Keep,,,,
350,2,3,4,0:05:53,0:06:11,The North,Winterfell,,,True,
351,2,3,5,0:06:11,0:06:44,The North,Winterfell,,,,
352,2,3,6,0:06:44,0:09:16,The North,Winterfell,,,,
353,2,3,7,0:09:16,0:13:24,The Stormlands,Storm's End,,Renly Baratheon's Camp,,
354,2,3,8,0:13:24,0:14:19,The Stormlands,Storm's End,,Renly Baratheon's Camp,,
355,2,3,9,0:14:19,0:14:45,The Stormlands,Storm's End,,Renly Baratheon's Camp,,
356,2,3,10,0:14:45,0:18:40,The Iron Islands,Pyke,,,,
357,2,3,11,0:18:40,0:19:03,The Iron Islands,Pyke,,,,
358,2,3,12,0:19:03,0:20:43,The Crownlands,King's Landing,,,,
359,2,3,13,0:20:43,0:22:11,The Crownlands,King's Landing,,,,
360,2,3,14,0:22:11,0:24:24,The Crownlands,King's Landing,,,,
361,2,3,15,0:24:24,0:25:43,The Crownlands,King's Landing,,,,
362,2,3,16,0:25:43,0:26:24,The Crownlands,King's Landing,,,,
363,2,3,17,0:26:24,0:28:21,The Crownlands,King's Landing,,,,
364,2,3,18,0:28:21,0:30:26,The Stormlands,Storm's End,,Renly Baratheon's Camp,,
365,2,3,19,0:30:26,0:33:39,The Stormlands,Storm's End,,Renly Baratheon's Camp,,
366,2,3,20,0:33:39,0:35:01,The Crownlands,King's Landing,,,,
367,2,3,21,0:35:01,0:35:37,The Iron Islands,Pyke,,,,
368,2,3,22,0:35:37,0:36:58,The Iron Islands,Pyke,,,,
369,2,3,23,0:36:58,0:38:12,The Crownlands,King's Landing,,,,
370,2,3,24,0:38:12,0:40:20,The Crownlands,King's Landing,,,,
371,2,3,25,0:40:20,0:42:11,The Crownlands,King's Landing,,,,
372,2,3,26,0:42:11,0:46:28,The Riverlands,The Kingsroad,,,,
373,2,3,27,0:46:28,0:47:01,The Riverlands,The Kingsroad,,,,
374,2,3,28,0:47:01,0:48:33,The Riverlands,The Kingsroad,,,,
375,2,3,29,0:48:33,0:50:32,The Riverlands,The Kingsroad,,,,
376,2,3,30,0:50:32,0:51:22,The Riverlands,The Kingsroad,,,,
377,2,4,1,0:01:53,0:03:42,The Westerlands,Oxcross,,,,
378,2,4,2,0:03:42,0:03:55,The Westerlands,Oxcross,,,,
