id,seasonNum,episodeNum,episodeTitle,episodeLink,episodeAirDate,episodeDescription
19,2,10,Valar Morghulis,/title/tt2112510/,2012-06-03,Joffrey puts Sansa aside for Margaery Tyrell. Robb marries Talisa Maegyr. Jon prepares to meet Mance Rayder. Arya says farewell to Jaqen H'ghar. Daenerys tries to rescue her dragons.
20,3,1,Valar Dohaeris,/title/tt2178782/,2013-03-31,"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out."
21,3,2,"Dark Wings, Dark Words",/title/tt2178772/,2013-04-07,"Bran and company meet Jojen and Meera Reed. Arya, Gendry, and Hot Pie meet the Brotherhood. Jaime travels through the wilderness with Brienne. Sansa confesses her true feelings about Joffrey to Margaery."
22,3,3,Walk of Punishment,/title/tt2178802/,2013-04-14,Robb and Catelyn arrive at Riverrun for Lord Hoster Tully's funeral. Tywin names Tyrion the new Master of Coin. Arya says goodbye to Hot Pie. The Night's Watch returns to Craster's. Brienne and Jaime are taken prisoner.
23,3,4,And Now His Watch Is Ended,/title/tt2178798/,2013-04-21,Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.
24,3,5,Kissed by Fire,/title/tt2178788/,2013-04-28,"Robb's army is falling apart. Jaime reveals a story, to Brienne, that he has never told anyone. Jon breaks his vows. The Hound is granted his freedom. The Lannisters hatch a new plan."
25,3,6,The Climb,/title/tt2178812/,2013-05-05,Jon and the wildlings scale The Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.
26,3,7,The Bear and the Maiden Fair,/title/tt2178814/,2013-05-12,Jon and the wildlings travel south of The Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.
27,3,8,Second Sons,/title/tt2178806/,2013-05-19,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.
28,3,9,The Rains of Castamere,/title/tt2178784/,2013-06-02,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.
29,3,10,Mhysa,/title/tt2178796/,2013-06-09,Bran and company travel beyond The Wall. Sam returns to Castle Black. Jon says good bye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.
30,4,1,Two Swords,/title/tt2816136/,2014-04-06,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy."
31,4,2,The Lion and the Rose,/title/tt2832378/,2014-04-13,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.
32,4,3,Breaker of Chains,/title/tt2972426/,2014-04-20,Tyrion is arrested for the murder of Joffrey and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.
33,4,4,Oathkeeper,/title/tt2972428/,2014-04-27,Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.
34,4,5,First of His Name,/title/tt3060856/,2014-05-04,Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.
35,4,6,The Laws of Gods and Men,/title/tt3060910/,2014-05-11,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.
36,4,7,Mockingbird,/title/tt3060876/,2014-05-18,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.
37,4,8,The Mountain and the Viper,/title/tt3060782/,2014-06-01,Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Ser Jorah. Oberyn Martell faces Ser Gregor Clegane.
38,4,9,The Watchers on the Wall,/title/tt3060858/,2014-06-08,The battle between the Night's Watch and the Wildlings has come.
39,4,10,The Children,/title/tt3060860/,2014-06-15,"The Night's Watch story continues, with surprising developments. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery."
40,5,1,The Wars to Come,/title/tt3658012/,2015-03-29,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings."
41,5,2,The House of Black and White,/title/tt3846626/,2015-04-19,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.
42,5,3,High Sparrow,/title/tt3866836/,2015-04-26,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.
43,5,4,Sons of the Harpy,/title/tt3866838/,2015-05-03,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack."
44,5,5,Kill the Boy,/title/tt3866840/,2015-05-10,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.
45,5,6,"Unbowed, Unbent, Unbroken",/title/tt3866842/,2015-05-17,Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.
46,5,7,The Gift,/title/tt3866846/,2015-05-24,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.
47,5,8,Hardhome,/title/tt3866850/,2015-05-31,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the Wildling Elders.
48,5,9,The Dance of Dragons,/title/tt3866826/,2015-06-07,Jon and the Wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Ser Meryn Trant. Daenerys attends the grand reopening of the fighting pits.
49,5,10,Mother's Mercy,/title/tt3866862/,2015-06-14,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.
50,6,1,The Red Woman,/title/tt3658014/,2016-04-24,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.
51,6,2,Home,/title/tt4077554/,2016-05-01,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.
52,6,3,Oathbreaker,/title/tt4131606/,2016-05-08,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs."
53,6,4,Book of the Stranger,/title/tt4283016/,2016-05-15,Sansa arrives at Castle Black. Tyrion makes a deal with the Slave Masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.
54,6,5,The Door,/title/tt4283028/,2016-05-22,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a Red Priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.
55,6,6,Blood of My Blood,/title/tt4283054/,2016-05-29,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.
56,6,7,The Broken Man,/title/tt4283060/,2016-06-05,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.
57,6,8,No One,/title/tt4283074/,2016-06-12,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.
58,6,9,Battle of the Bastards,/title/tt4283088/,2016-06-19,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.
59,6,10,The Winds of Winter,/title/tt4283094/,2016-06-26,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in Oldtown. Bran discovers a long kept secret. Lord Frey has an uninvited guest.
60,7,1,Dragonstone,/title/tt5654088/,2017-07-16,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""The North remembers"". Sam adapts to life in Oldtown. Night King makes his way south."
61,7,2,Stormborn,/title/tt5655178/,2017-07-23,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.
62,7,3,The Queen's Justice,/title/tt5775840/,2017-07-30,Daenerys and Jon meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.
63,7,4,The Spoils of War,/title/tt5775846/,2017-08-06,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.
64,7,5,Eastwatch,/title/tt5775854/,2017-08-13,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.
65,7,6,Beyond the Wall,/title/tt5775864/,2017-08-20,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.
66,7,7,The Dragon and the Wolf,/title/tt5775874/,2017-08-27,Season finale of the epic series.
67,8,1,Winterfell,/title/tt5924366/,2019-04-14,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.
68,8,2,A Knight of the Seven Kingdoms,/title/tt6027908/,2019-04-21,The battle at Winterfell is approaching. Jaime is confronted with the consequences of the past. A tense interaction between Sansa and Daenerys follows.
69,8,3,The Long Night,/title/tt6027912/,2019-04-28,The Night King and his army have arrived at Winterfell and the great battle begins.
70,8,4,The Last of the Starks,/title/tt6027914/,2019-05-05,"In the wake of a costly victory, Jon and Daenerys look to the south as Tyrion eyes a compromise that could save countless lives."
71,8,5,The Bells,/title/tt6027916/,2019-05-12,Daenerys and Cersei weigh their options as an epic conflict looms at King's Landing.
72,8,6,The Iron Throne,/title/tt6027920/,2019-05-19,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors."
